7, 2, 167, 510
51, 189, 66, 390
200, 1520, 236, 742
31, 3, 232, 686
1549, 650, 1426, 5536
81, 76, 295, 1891
51, 36, 72, 530
66, 6, 173, 600
7, 8, 240, 649
82, 84, 70, 543
80, 88, 226, 1189
229, 211, 426, 1172
0, 10, 116, 823
393, 92, 270, 737
154, 194, 333, 1090
41, 398, 444, 548
119, 109, 469, 2308
279, 839, 186, 543
195, 155, 75, 682
198, 107, 176, 625
152, 48, 171, 890
0, 9, 139, 795
54, 70, 306, 789
167, 228, 374, 932
154, 64, 149, 776
168, 64, 414, 1361
67, 121, 77, 713
163, 84, 171, 840
28, 46, 271, 728
324, 236, 372, 777
293, 126, 178, 699
490, 494, 585, 1820
203, 93, 124, 483
65, 29, 140, 560
95, 56, 119, 922
207, 92, 381, 3070
1433, 88, 2749, 22397
386, 416, 357, 1457
103, 40, 101, 584
178, 252, 355, 1052
361, 151, 331, 1138
39, 110, 411, 884
533, 99, 331, 3593
251, 55, 510, 2962
22, 21, 170, 534
826, 413, 710, 3901
134, 105, 104, 502
202, 216, 357, 1125
552, 3043, 101, 718
75, 53, 87, 586
257, 441, 116, 531
42, 18, 432, 834
3555, 2093, 2669, 14869
99, 34, 533, 575
80, 24, 547, 2422
56, 93, 206, 759
226, 109, 186, 695
49, 19, 260, 716
381, 130, 219, 1620
157, 28, 484, 1414
129, 899, 322, 915
467, 670, 559, 3729
5, 0, 212, 1017
179, 138, 477, 1598
140, 29, 163, 834
69, 147, 92, 405
148, 58, 127, 797
207, 56, 229, 651
172, 524, 255, 613
24, 30, 97, 565
182, 126, 287, 1394
98, 167, 70, 393
183, 77, 262, 1457
791, 411, 1584, 6060
51, 2, 134, 528
13, 8, 155, 605
21, 40, 259, 503
1107, 2125, 156, 838
103, 31, 427, 2125
181, 11, 121, 576
53, 0, 218, 504
94, 43, 188, 731
2, 0, 128, 582
60, 37, 289, 1415
271, 94, 363, 1207
415, 391, 879, 3348
144, 86, 436, 1323
21, 56, 121, 576
129, 11, 155, 654
959, 119, 2392, 6458
357, 170, 310, 1688
356, 170, 692, 2383
50, 301, 297, 597
63, 90, 87, 472
420, 301, 502, 1737
262, 458, 531, 1066
310, 308, 471, 1737
117, 1, 270, 931
2248, 20592, 73, 565
1375, 4427, 109, 610
8, 0, 203, 508
158, 37, 266, 1482
9, 8, 168, 611
13, 84, 125, 499
24, 8, 59, 566
165, 132, 207, 1266
226, 135, 246, 2573
98, 454, 227, 790
240, 12, 161, 581
30, 6, 209, 803
151, 79, 106, 799
9, 5, 223, 434
330, 955, 101, 602
94, 51, 269, 1058
21, 43, 441, 3897
131, 251, 104, 318
75, 37, 432, 1874
43, 156, 179, 411
26, 53, 215, 763
451, 276, 373, 1720
10, 2, 610, 1388
48, 39, 218, 788
2, 1, 190, 644
79, 14, 427, 812
1116, 4335, 78, 624
218, 181, 264, 2251
135, 75, 408, 1258
2, 0, 142, 670
172, 48, 204, 908
112, 242, 157, 738
198, 7, 281, 1284
241, 1582, 51, 587
31, 10, 144, 549
4, 2, 156, 778
97, 142, 202, 866
79, 24, 89, 538
155, 66, 113, 488
298, 259, 202, 823
93, 38, 243, 1008
23, 0, 182, 600
189, 36, 651, 2686
2, 0, 118, 667
292, 1356, 159, 458
9, 4, 118, 631
60, 25, 384, 1373
58, 52, 501, 2781
732, 229, 1221, 4517
24, 6, 441, 1376
81, 51, 213, 925
127, 45, 115, 801
3750, 733, 3367, 30551
22, 37, 155, 581
120, 247, 503, 1062
43, 41, 392, 1162
106, 26, 250, 1087
10, 39, 148, 544
606, 380, 369, 1904
636, 538, 514, 2976
43, 21, 185, 657
239, 352, 391, 730
281, 695, 199, 625
795, 3149, 171, 544
67, 85, 789, 1150
3399, 307, 4051, 30644
13, 4, 62, 565
140, 54, 285, 1050
88, 52, 395, 734
1927, 7070, 90, 479
83, 64, 539, 2395
736, 65, 207, 2188
400, 155, 355, 1309
32, 64, 174, 569
11, 4, 119, 578
45, 99, 116, 453
140, 115, 59, 699
279, 787, 175, 929
72, 15, 112, 465
