time,model,prec,recall,f1,test_dataset,num_params,size(MB),latency
2025-06-20 16:49:15,Silero-V5,Ten_Vad_Dataset,0.9125111917337588,0.9094740406320568,0.8983257830596385,462594,1.850376,0.08263998031616211
2025-06-20 16:49:24,Ten_Vad,Ten_Vad_Dataset,0.9484218926180319,0.9258701359155498,0.9334215506918195,,0.35,0.06285646666666665
2025-06-20 16:49:31,Pyannote,Ten_Vad_Dataset,0.8662536262578248,0.9811430510461947,0.9182135735317154,1472878,5.891512,0.20610292752583823
2025-06-20 19:47:10,TR_VAD,Ten_Vad_Dataset,0.9406059219229996,0.9182905115648716,0.9279962947475532,376453,1.505812,0.050945623715718584
2025-06-21 18:55:40,TR_VAD_int8,Ten_Vad_Dataset,0.9413321042370345,0.9196917004134849,0.9290383777738984,151434,0.605736,3.6544276316960653
2025-06-20 18:41:23,Silero-V5,MSDWILDDataset,0.9183064023520501,0.8499034395522612,0.8638917120504309,462594,1.850376,0.8131797003880733
2025-06-20 18:45:34,Ten_Vad,MSDWILDDataset,0.8620073622222626,0.8884357369552702,0.8704398507573854,,0.35,0.6916305593220339
2025-06-20 18:59:20,Pyannote,MSDWILDDataset,0.9064960420153143,0.9534211086563984,0.9270359055906711,1472878,5.891512,3.7564352097484353
2025-06-20 19:34:34,TR_VAD,MSDWILDDataset,0.8846167513175168,0.7576406876742081,0.8120635217995337,376453,1.505812,0.8270995838697567
2025-06-21 21:27:32,TR_VAD_int8,MSDWILDDataset,0.9191493172339881,0.798145291419211,0.8515185734981645,151434,0.605736,50.38499700282253
